node,total_energy_demand
AT,0.0015803259994727602
BE,0.0020866560065995713
BG,9.013446819867489e-05
CH,0.0013356567916093238
CY,3.4933309865085284e-05
CZ,0.00030883413008879577
DE,0.09046935671643842
DK,0.0012273488118080338
EE,5.238771434194561e-05
EL,0.00019038896648942334
ES,0.34121911403875044
FI,0.006496673361290812
FR,0.00895945848097716
HR,0.00015426402467340453
HU,0.00024163089714130425
IE,0.0009405279874091882
IS,1.978055135342474e-05
IT,0.4667198019411789
LI,9.855917209166975e-06
LT,8.687258103846747e-05
LU,0.0006625025735749207
LV,4.6775418145514245e-05
MT,0.0003463909451715384
NL,0.009381043215736474
NO,0.00010690215008502183
PL,0.0007824774845162479
PT,0.009362267144153674
RO,0.00023928349377359362
SE,0.00029705547995907385
SI,0.03039931510914484
SK,0.00016279260079617093
UK,0.01104960788671968
