year,capex_specific_storage
2025,1070.9054443977402
2026,1070.9054443977402
2027,1070.9054443977402
2028,1070.9054443977402
2029,1070.9054443977402
2030,1070.9054443977402
2031,1073.0472552865356
2032,1075.1890661753312
2033,1077.3308770641265
2034,1079.4726879529221
2035,1081.6144988417175
2036,1081.6144988417175
2037,1081.6144988417175
2038,1081.6144988417175
2039,1081.6144988417175
2040,1081.6144988417175
2041,1083.756309730513
2042,1085.8981206193084
2043,1088.039931508104
2044,1090.1817423968994
2045,1092.323553285695
2046,1092.323553285695
2047,1092.323553285695
2048,1092.323553285695
2049,1092.323553285695
2050,1092.323553285695
